AYear	Semester	Marker	CourseCode	ExamCategory	ExamDate	ExamSitting	Recorder	RecordDate	RegNo	ExamScore	Checked	Status	Count	Comment																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/050	60	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/052	68	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/053	72	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/054	61	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/055	64	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/056	68	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/057	66	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/058	61	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/059	71	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/060	65	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/061	71	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/062	70	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/063	63	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/064	66	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/065	65	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/066	73	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/067	62	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/068	66	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/069	69	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/070	69	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/071	63	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/072	58	1	1	0	.																
2008	Semester I	1	NSC 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/073	72	1	1	0	.																
