AYear	Semester	Marker	CourseCode	ExamCategory	ExamDate	ExamSitting	Recorder	RecordDate	RegNo	ExamScore	Checked	Status	Count	Comment														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/052	61	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/053	59	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/054	61	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/055	69	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/056	60	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/057	59	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/058	73	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/059	62	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/060	67	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/061	50	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/062	52	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/063	61	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/064	54	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/065	42	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/066	60	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/067	53	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/068	63	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/069	67	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/070	61	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/071	53	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/072	66	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/073	62	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/074	58	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/075	50	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/077	52	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/078	60	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/079	61	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/080	57	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/081	52	1	1	0	.														
2008	Semester I	1	ED 201	8	2008-12-05	1	zalongwa	2009-07-28	KCN/BScN/07/082	58	1	1	0	.														
